nlc,Station,longitude,latitude,EntriesHr,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million
679,Queensbury,51.5944,-0.28655,90.7,7370,4652,3216,7203,4336,3071,4.525278
681,Queensway,51.5105,-0.18705,184,10680,11312,8920,10822,11220,8791,7.656619
682,Ravenscourt Park,51.4942,-0.2356,62.6,5268,3174,2074,5112,2944,2074,3.189008
683,Rayners Lane,51.5753,-0.3724,88,7340,4425,3023,7332,4152,2992,4.512905
684,Redbridge,51.5762,0.04542,64.1,4841,3532,2402,4360,2968,2152,2.934539
685,Regent's Park,51.5234,-0.14713,63.3,5487,2965,2175,5996,3791,2655,3.541481
686,Richmond,51.4634,-0.302033247,200.2,13315,13506,6806,12519,12206,6555,8.661325
687,Rickmansworth,51.6403,-0.473521454,43.7,4335,1865,1143,4063,1716,1092,2.442771
688,Roding Valley,51.6169,0.04264,5,517,208,110,385,172,105,0.260651
690,Royal Oak,51.5194,-0.187785,50.2,4205,2445,1776,3880,2198,1686,2.491199
691,Ruislip,51.5715,-0.42157,38.1,3056,2090,1255,3044,2003,1236,1.903105
692,Ruislip Gardens,51.5607,-0.410587,22.9,2066,1158,624,1610,959,605,1.112623
693,Ruislip Manor,51.5735,-0.41185,38.8,3379,1998,1141,3231,1844,1126,2.005867
694,Russell Square,51.5232,-0.124336,288.9,20395,15737,12408,20198,15963,11499,13.328942
698,Seven Sisters,51.5832,-0.07495,400.4,26984,23167,17114,25381,20755,16622,17.522713
,Shepherd's Bush,51.5047,-0.21881,604,39647,37200,24619,36146,33943,22750,25.669836
702,Sloane Square,51.4926,-0.156090904,369,27121,21866,13011,26081,21205,12374,17.197513
703,Snaresbrook,51.58,0.02133,54.6,4982,2589,1595,3853,2279,1559,2.674477
704,South Ealing,51.5008,-0.307856,77.5,5837,4312,2874,5759,3960,2819,3.699819
707,South Harrow,51.5646,-0.3521,52,4068,2809,1862,4115,2810,1892,2.583973
708,South Kensington,51.4941,-0.172791,767.7,50469,44596,33912,49637,44196,32626,33.869744
709,South Kenton,51.5704,-0.308566354,29.3,1778,1996,1154,1027,647,712,0.957195
710,South Ruislip,51.5568,-0.398708,35.7,2941,1882,1181,2577,1741,1084,1.718085
711,South Wimbledon,51.4154,-0.192262754,95,7730,4936,3299,6838,4626,3269,4.57044
712,South Woodford,51.5909,0.02726,91.3,7552,5029,2752,9136,5782,3425,5.148679
705,Southfields,51.4449,-0.206466,133.8,10392,7412,4674,9109,6180,4366,6.173897
706,Southgate,51.6324,-0.12765,112.8,8623,6250,4070,8867,6098,4209,5.555527
784,Southwark,51.5038,-0.10478,309.9,31508,12263,8300,30503,12471,8017,17.937654
695,St.James's Park,51.4997,-0.13394,256.9,29357,7928,5880,26864,7499,5511,15.698186
696,St.John's Wood,51.5347,-0.17428,156.9,12600,7993,5766,12550,7971,5868,7.879484
697,St.Paul's,51.5153,-0.097598,323.1,29189,14853,10245,28868,14489,9368,17.371372
713,Stamford Brook,51.4949,-0.24619,55.9,4505,2981,1912,4151,2553,1787,2.695977
714,Stanmore,51.619,-0.30241,83.3,6196,4181,3619,6185,3816,3592,3.973686
715,Stepney Green,51.5219,-0.046546,122.5,9916,6310,4349,8859,5243,4050,5.846372
716,Stockwell,51.4722,-0.1227,254.2,19564,13483,9652,14824,11349,8835,11.082161
717,Stonebridge Park,51.544,-0.275978856,50,4551,2648,1193,4337,2433,1553,2.67489
